Name;Address;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
W.A de Paula, rações;Estrada da Pedra Branca, 1364 - Montanhão, São Bernardo do Campo;N/A;N/A;ChIJ653sBOVBzpQREpyREtFywPI;pet_store;-23.7537363;-46.5317943
Arlow's Pet;Brazil;N/A;N/A;ChIJaYri-ztAzpQRbTysUk8Q1Yo;pet_store;-23.7545848;-46.53035689999999
Pet Shop Lu;Estrada do Pedroso, 4525 - Jardim Riviera, Santo André;4.7;6;ChIJmWBCtYhrzpQRB3MXuoqYcRg;pet_store;-23.7455399;-46.4955738
Rancheiro Agropet;Rua Fagundes Varela, 380 - Jardim Cacula, Ribeirão Pires;N/A;N/A;ChIJc9o5GiYVzpQRFjQChcbX_hc;pet_store;-23.7548322;-46.4407699
Pet Shop Aike Delicia;Rua Fagundes Varela, 477 - Jardim Cacula, Ribeirão Pires;4;11;ChIJF9TzR6gUzpQR6unJPA51n3M;pet_store;-23.7550298;-46.4405457
Ribeirão Mundo Pet;Rua Vereador Fortunato Pandolfi Arnoni, 25 - Jardim Cacula, Ribeirão Pires;5;19;ChIJ4Zw1ohwVzpQR3wPklIn9Y6s;pet_store;-23.7519138;-46.4409012
Agro & Pet Jardim Caçula;Estrada do Caçula, 52 - Represa, Ribeirão Pires;4.9;22;ChIJww9PXnEVzpQR1GGyE2A687Q;pet_store;-23.7514747;-46.4417003
Pet Shop Portal Do Pet;Rua José Maria Figueiredo, 711 - Centro, Rio Grande da Serra;4.4;7;ChIJUyCnjN4SzpQR1atvNFDK9_o;pet_store;-23.7483723;-46.39721830000001
Pet Shop e Casa de Rações São Francisco de Assis;Rua Agostinho Cardoso, 193 - Vila Figueiredo, Rio Grande da Serra;4.7;64;ChIJJ9GiL98SzpQR8ff1yswxKxI;pet_store;-23.747424;-46.39895689999999
Veterinária Trevo;Avenida dos Autonomistas, 885 - Vila Figueiredo, Rio Grande da Serra;4.3;102;ChIJAUCtut8SzpQRZgSLfUvd5yk;veterinary_care;-23.7499505;-46.3990894
Pet House;Rua Vereador Amilton José dos Santos, 239 - Vila Ota, Rio Grande da Serra;5;2;ChIJMROQ9OYTzpQRGGvb_tRNNjM;pet_store;-23.7459292;-46.37898389999999
Avicultura e Pet shop Jardim Ipanema SBC;Rua Ouro Branco, N° 193 - Jardim Ipanema, São Bernardo do Campo;4.7;20;ChIJY2ppwDxBzpQRQzZk_aKVK0Y;pet_store;-23.7465254;-46.5773842
Nani Pets;Rua Mário Missirolli, 741 - Demarchi, São Bernardo do Campo;5;7;ChIJ0RYuZe9BzpQRWAq759plOFo;pet_store;-23.7430347;-46.5647688
Pet Shop Ipê;Estrada dos Casa, 2978 - DOS CASAS, São Bernardo do Campo;5;2;ChIJayyttZ9BzpQRKXw0Ap6ykWg;veterinary_care;-23.7398778;-46.5701903
Gigi Estética Animal;Rua Professor Nelson Monteiro Palma, 45 - Dos Casa, São Bernardo do Campo;4.9;18;ChIJa4n34BZBzpQRIONz8emvE54;pet_store;-23.7395085;-46.5689315
