Cluster ID;KeyBERT Topics;Manual Summary
0;péssimo atendimento recomendo, atendido não gostei, fui mal atendido;Poor service and customer dissatisfaction.
1;maltratou minha cachorrinha, minha cachorrinha péssimo, cachorrinha péssimo minha;Negative experiences related to pet mistreatment.
2;levei meu cachorrinho, meu cachorrinho hemograma, meu cachorrinho;Health issues and concerns with pet treatment.
3;entreguei minha cachorra, entreguei minha, levei minha;Disappointment with care and service provided.
4;biologico kkkk como, isso biologico kkkk, kkkk como biologico;Sarcastic remarks and disbelief about diagnosis.
